,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
1183,20300,ИПУТЬ,ИПУТЬ,Брянская область,Московская,"('52.964033', '32.40392')",52.964033,32.40392
1184,20310,СТАРОДУБ,СТАРОДУБ,Брянская область,Московская,"('52.597786', '32.758496')",52.597786,32.758496
1185,20330,ЖЕЧА,ЖЕЧА,Брянская область,Московская,"('52.719805', '32.744335')",52.719805,32.744335
1186,20320,ПОГАР,ПОГАР,Брянская область,Московская,"('52.510067', '33.218085')",52.510067,33.218085
1187,20380,НАВЛЯ,НАВЛЯ,Брянская область,Московская,"('52.822252', '34.493832')",52.822252,34.493832
1188,20390,АЛТУХОВО,АЛТУХОВО,Брянская область,Московская,"('52.678661', '34.367676')",52.678661,34.367676
1189,20400,КОКОРЕВКА,КОКОРЕВКА,Брянская область,Московская,"('52.586662', '34.285784')",52.586662,34.285784
1190,20410,ХОЛМЕЧИ,ХОЛМЕЧИ,Брянская область,Московская,"('52.501088', '34.208843')",52.501088,34.208843
1191,20420,СУЗЕМКА,СУЗЕМКА,Брянская область,Московская,"('52.318006', '34.073967')",52.318006,34.073967
1192,20440,СУЗЕМКА-Э,СУЗЕМКА (ЭКСП.),Брянская область,Московская,"('52.318006', '34.073967')",52.318006,34.073967
1193,20450,ПОГРЕБЫ,ПОГРЕБЫ,Брянская область,Московская,"('52.662879', '34.515232')",52.662879,34.515232
1194,20460,БРАСОВО,БРАСОВО,Брянская область,Московская,"('52.588465', '34.576692')",52.588465,34.576692
1195,20470,КОМАРИЧИ,КОМАРИЧИ,Брянская область,Московская,"('52.414921', '34.785103')",52.414921,34.785103
1196,20480,ДЕРЮГИНО,ДЕРЮГИНО,Курская область,Московская,"('52.210452', '34.990723')",52.210452,34.990723
1197,20490,ДМИТРИЕВ-ЛЬГ,ДМИТРИЕВ-ЛЬГОВСКИЙ,Курская область,Московская,"('52.125482', '35.062208')",52.125482,35.062208
1198,20500,АРБУЗОВО,АРБУЗОВО,Курская область,Московская,"('52.020997', '35.116639')",52.020997,35.116639
1199,20520,ОСТАПОВО,ОСТАПОВО,Курская область,Московская,"('52.273934', '35.42599')",52.273934,35.42599
1200,20530,МИХАЙЛОВ РУД,МИХАЙЛОВСКИЙ РУДНИК,Курская область,Московская,"('52.359592', '35.388198')",52.359592,35.388198
1201,20540,КУРБАКИНСКАЯ,КУРБАКИНСКАЯ,Курская область,Московская,"('52.435133', '35.559127')",52.435133,35.559127
1202,20550,КРОМЫ,КРОМЫ,Орловская область,Московская,"('52.671103', '35.81956')",52.671103,35.81956
1203,20560,ЛУЖКИ-ОРЛОВ,ЛУЖКИ-ОРЛОВСКИЕ,Орловская область,Московская,"('52.931679', '36.095706')",52.931679,36.095706
1204,20580,КОНЫШЕВКА,КОНЫШЕВКА,Курская область,Московская,"('51.839793', '35.290602')",51.839793,35.290602
1205,20590,ШЕРЕКИНО,ШЕРЕКИНО,Курская область,Московская,"('51.69413', '35.249964')",51.69413,35.249964
1206,20620,ЛЬГОВ-КИЕВСК,ЛЬГОВ-КИЕВСКИЙ,Курская область,Московская,"('51.637462', '35.267219')",51.637462,35.267219
1207,20650,СУДЖА,СУДЖА,Курская область,Московская,"('51.207578', '35.308961')",51.207578,35.308961
1208,20660,СОСНОВЫЙ БОР,СОСНОВЫЙ БОР,Курская область,Московская,"('51.118602', '35.512563')",51.118602,35.512563
1209,20670,ПСЕЛ,ПСЕЛ,Курская область,Московская,"('51.078926', '35.586014')",51.078926,35.586014
1210,20710,ГЛУШКОВО-Э,ГЛУШКОВО (ЭКСП.),Курская область,Московская,"('51.289144', '34.734758')",51.289144,34.734758
1211,20730,ГЛУШКОВО,ГЛУШКОВО,Курская область,Московская,"('51.289144', '34.734758')",51.289144,34.734758
1212,20740,КОРЕНЕВО,КОРЕНЕВО,Курская область,Московская,"('51.410897', '34.89935')",51.410897,34.89935
1213,20750,СЕЙМСКАЯ,СЕЙМСКАЯ,Курская область,Московская,"('51.557908', '34.694978')",51.557908,34.694978
1214,20760,РЫЛЬСК,РЫЛЬСК,Курская область,Московская,"('51.565879', '34.714204')",51.565879,34.714204
1215,20780,БЛОХИНО,БЛОХИНО,Курская область,Московская,"('51.621844', '35.501056')",51.621844,35.501056
1216,20790,ЛУКАШЕВКА,ЛУКАШЕВКА,Курская область,Московская,"('51.648626', '35.581552')",51.648626,35.581552
1217,20800,ДЬЯКОНОВО,ДЬЯКОНОВО,Курская область,Московская,"('51.649095', '35.960092')",51.649095,35.960092
1218,20810,РЫШКОВО,РЫШКОВО,Курская область,Московская,"('51.655407', '36.136933')",51.655407,36.136933
1219,20820,КУРСК,КУРСК,Курская область,Московская,"('51.749804', '36.228361')",51.749804,36.228361
1220,20840,НОЗДРАЧЕВО,НОЗДРАЧЕВО,Курская область,Московская,"('51.77128', '36.280015')",51.77128,36.280015
1221,20850,ОТРЕШКОВО,ОТРЕШКОВО,Курская область,Московская,"('51.790638', '36.505064')",51.790638,36.505064
1222,20860,ОХОЧЕВКА,ОХОЧЕВКА,Курская область,Московская,"('51.885834', '36.734018')",51.885834,36.734018
1223,20890,КОЛПНЫ,КОЛПНЫ,Орловская область,Московская,"('52.218611', '37.02883')",52.218611,37.02883
1224,20900,ЩИГРЫ,ЩИГРЫ,Курская область,Московская,"('51.87757', '36.914387')",51.87757,36.914387
1225,20910,УДОБРИТЕЛЬН,УДОБРИТЕЛЬНАЯ,Курская область,Московская,"('51.870451', '36.974726')",51.870451,36.974726
1226,20920,ЧЕРЕМИСИНОВО,ЧЕРЕМИСИНОВО,Курская область,Московская,"('51.884254', '37.258338')",51.884254,37.258338
1227,20930,МАРМЫЖИ,МАРМЫЖИ,Курская область,Московская,"('51.866637', '37.552105')",51.866637,37.552105
1228,20940,КШЕНЬ,КШЕНЬ,Курская область,Московская,"('51.848216', '37.721069')",51.848216,37.721069
1229,21000,ПЛЕХАНОВО,ПЛЕХАНОВО,Тульская область,Московская,"('54.285227', '37.467663')",54.285227,37.467663
1230,21010,ТУЛА-ЛИХВИН,ТУЛА-ЛИХВИНСКАЯ,Тульская область,Московская,"('54.158136', '37.582335')",54.158136,37.582335
1231,21020,ТУЛА I-КУРС,ТУЛА I-КУРСКАЯ,Тульская область,Московская,"('54.199513', '37.577005')",54.199513,37.577005
1232,21030,ТУЛА-ВЯЗЕМСК,ТУЛА-ВЯЗЕМСКАЯ,Тульская область,Московская,"('54.209246', '37.628469')",54.209246,37.628469
1233,21050,ХОМЯКОВО,ХОМЯКОВО,Тульская область,Московская,"('54.290853', '37.606379')",54.290853,37.606379
1234,21060,РЕВЯКИНО,РЕВЯКИНО,Тульская область,Московская,"('54.36224', '37.662592')",54.36224,37.662592
1235,21070,ЯСНОГОРСК,ЯСНОГОРСК,Тульская область,Московская,"('54.478928', '37.68529')",54.478928,37.68529
1236,21090,ТАРУССКАЯ,ТАРУССКАЯ,Тульская область,Московская,"('54.735374', '37.400852')",54.735374,37.400852
1237,21100,НЕКРАСОВО,НЕКРАСОВО,Тульская область,Московская,"('54.255491', '37.486917')",54.255491,37.486917
