,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
1334,22550,ПРОМГИПСОВАЯ,ПРОМГИПСОВАЯ,Тульская область,Московская,,,
1335,22590,КЛЮЧЕВКА,КЛЮЧЕВКА,Тульская область,Московская,"('54.042068', '38.215473')",54.042068,38.215473
1336,22630,НОВОМОСКОВСКАЯ II,НОВОМОСКОВСКАЯ II,Тульская область,Московская,"('54.011704', '38.270853')",54.011704,38.270853
1337,22640,СЕВЕРНАЯ,СЕВЕРНАЯ,Тульская область,Московская,"('54.079659', '38.168819')",54.079659,38.168819
1338,22650,МАКЛЕЦ,МАКЛЕЦ,Тульская область,Московская,"('54.072223', '38.141376')",54.072223,38.141376
1339,22670,ВЕНЕВ,ВЕНЕВ,Тульская область,Московская,"('54.349175', '38.243754')",54.349175,38.243754
1340,22680,МОРДВЕС,МОРДВЕС,Тульская область,Московская,"('54.575084', '38.222165')",54.575084,38.222165
1341,22720,КИМОВСК,КИМОВСК,Тульская область,Московская,"('53.966028', '38.533843')",53.966028,38.533843
1342,22760,МИЛЛИОННАЯ,МИЛЛИОННАЯ,Рязанская область,Московская,"('53.842361', '39.035196')",53.842361,39.035196
1343,22770,ПАВЕЛЕЦ-СЫЗР,ПАВЕЛЕЦ-СЫЗРАНСКИЙ,Рязанская область,Московская,"('53.840694', '39.216077')",53.840694,39.216077
1344,22790,ВОСЛЕБОВО,ВОСЛЕБОВО,Рязанская область,Московская,"('53.849796', '39.497087')",53.849796,39.497087
1345,22800,СКОПИН,СКОПИН,Рязанская область,Московская,"('53.825497', '39.573986')",53.825497,39.573986
1346,22810,ЖЕЛТУХИНО,ЖЕЛТУХИНО,Рязанская область,Московская,"('53.769361', '39.811597')",53.769361,39.811597
1347,22820,ПАВЕЛЕЦ-ТУЛ,ПАВЕЛЕЦ-ТУЛЬСКИЙ,Рязанская область,Московская,"('53.785888', '39.242108')",53.785888,39.242108
1348,22830,ЛУЖКОВСКАЯ,ЛУЖКОВСКАЯ,Рязанская область,Московская,"('54.039575', '39.108037')",54.039575,39.108037
