,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД
4356,64190,ЧАИС,ЧАИС,Пензенская область,Куйбышевская
4357,64200,НОЧКА,НОЧКА,Пензенская область,Куйбышевская
4358,64210,ИНЗА,ИНЗА,Ульяновская область,Куйбышевская
4359,64230,БАЗАРНАЯ,БАЗАРНАЯ,Ульяновская область,Куйбышевская
4360,64240,ПАТРИКЕЕВО,ПАТРИКЕЕВО,Ульяновская область,Куйбышевская
4361,64250,БАРЫШ,БАРЫШ,Ульяновская область,Куйбышевская
4362,64260,ПОЛИВАНОВО,ПОЛИВАНОВО,Ульяновская область,Куйбышевская
4363,64270,НАЛЕЙКА,НАЛЕЙКА,Ульяновская область,Куйбышевская
4364,64280,КУЗОВАТОВО,КУЗОВАТОВО,Ульяновская область,Куйбышевская
4365,64290,БЕЗВОДОВКА,БЕЗВОДОВКА,Ульяновская область,Куйбышевская
4366,64300,РАЧЕЙКА,РАЧЕЙКА,Самарская область,Куйбышевская
4367,64310,БАЛАШЕЙКА,БАЛАШЕЙКА,Самарская область,Куйбышевская
4368,64330,ГЛОТОВКА,ГЛОТОВКА,Ульяновская область,Куйбышевская
4369,64340,ШАРЛОВО,ШАРЛОВО,Ульяновская область,Куйбышевская
4370,64350,ВЕШКАЙМА,ВЕШКАЙМА,Ульяновская область,Куйбышевская
4371,64360,ЧУФАРОВО,ЧУФАРОВО,Ульяновская область,Куйбышевская
4372,64370,МАЙНА,МАЙНА,Ульяновская область,Куйбышевская
4373,64380,ВЫРЫ,ВЫРЫ,Ульяновская область,Куйбышевская
4374,64400,СТУДЕНЧЕСКАЯ,СТУДЕНЧЕСКАЯ,Ульяновская область,Куйбышевская
4375,64440,МОЛВИНО,МОЛВИНО,Ульяновская область,Куйбышевская
4376,64390,ТАШЛА,ТАШЛА,Ульяновская область,Куйбышевская
4377,64450,КУЧУРЫ,КУЧУРЫ,Ульяновская область,Куйбышевская
4378,64460,КРАСН ГУЛЯЙ,КРАСНЫЙ ГУЛЯЙ,Ульяновская область,Куйбышевская
4379,64470,БЕЛЫЙ КЛЮЧ,БЕЛЫЙ КЛЮЧ,Ульяновская область,Куйбышевская
4380,64480,УЛЬЯНОВСК-ЦЕНТР,УЛЬЯНОВСК ЦЕНТРАЛЬНЫЙ,Ульяновская область,Куйбышевская
4381,64510,УЛЬЯНОВ III,УЛЬЯНОВСК III,Ульяновская область,Куйбышевская
4382,64520,ЛАИШЕВКА,ЛАИШЕВКА,Ульяновская область,Куйбышевская
4383,64530,ЦИЛЬНА,ЦИЛЬНА,Ульяновская область,Куйбышевская
4384,64540,УЛЬЯНОВСК I,УЛЬЯНОВСК I,Ульяновская область,Куйбышевская
4385,64550,УЛЬЯНОВСК II,УЛЬЯНОВСК II,Ульяновская область,Куйбышевская
4386,64560,УЛЬЯНОВ II-ПЕР,УЛЬЯНОВСК II (ПЕРЕВ.),Ульяновская область,Куйбышевская
4387,64580,ВЕРХ ТЕРРАСА,ВЕРХНЯЯ ТЕРРАСА,Ульяновская область,Куйбышевская
4388,64590,СОВХОЗНЫЙ,СОВХОЗНЫЙ,Ульяновская область,Куйбышевская
4389,64600,ЧЕРДАКЛЫ,ЧЕРДАКЛЫ,Ульяновская область,Куйбышевская
4390,64610,БРЯНДИНО,БРЯНДИНО,Ульяновская область,Куйбышевская
4391,64620,ДИМИТРОВГРАД,ДИМИТРОВГРАД,Ульяновская область,Куйбышевская
4392,64660,ЯКУШКА,ЯКУШКА,Ульяновская область,Куйбышевская
4393,64680,ПОГРУЗНАЯ,ПОГРУЗНАЯ,Самарская область,Куйбышевская
4394,64690,НУРЛАТ,НУРЛАТ,Республика Татарстан (Татарстан),Куйбышевская
4395,64700,ЧЕЛНА,ЧЕЛНА,Самарская область,Куйбышевская
4396,64720,ШЕНТАЛА,ШЕНТАЛА,Самарская область,Куйбышевская
4397,64730,ПРОНИНО,ПРОНИНО,Самарская область,Куйбышевская
4398,64740,КЛЯВЛИНО,КЛЯВЛИНО,Самарская область,Куйбышевская
4399,64750,ДЫМКА,ДЫМКА,Оренбургская область,Куйбышевская
4400,64760,ПИСЬМЯНКА,ПИСЬМЯНКА,Республика Татарстан (Татарстан),Куйбышевская
4401,64770,МИННИБАЕВО,МИННИБАЕВО,Республика Татарстан (Татарстан),Куйбышевская
4402,64780,КУЛЬШАРИПОВО,КУЛЬШАРИПОВО,Республика Татарстан (Татарстан),Куйбышевская
4403,64790,АЛЬМЕТЬЕВСКАЯ,АЛЬМЕТЬЕВСКАЯ,Республика Татарстан (Татарстан),Куйбышевская
4404,64800,АКТАШ,АКТАШ,Республика Татарстан (Татарстан),Куйбышевская
4405,64810,ЗАИНСК,ЗАИНСК,Республика Татарстан (Татарстан),Куйбышевская
4406,64820,БИКЛЯНЬ,БИКЛЯНЬ,Республика Татарстан (Татарстан),Куйбышевская
4407,64920,СОБОЛЕКОВО,СОБОЛЕКОВО,Республика Татарстан (Татарстан),Куйбышевская
4408,64840,КРУГЛОЕ ПОЛЕ,КРУГЛОЕ ПОЛЕ,Республика Татарстан (Татарстан),Куйбышевская
4409,64850,НАБЕРЕЖ ЧЕЛНЫ,НАБЕРЕЖНЫЕ ЧЕЛНЫ,Республика Татарстан (Татарстан),Куйбышевская
4410,64860,БУГУЛЬМА,БУГУЛЬМА,Республика Татарстан (Татарстан),Куйбышевская
4411,64870,НИЖНЕКАМСК,НИЖНЕКАМСК,Республика Татарстан (Татарстан),Куйбышевская
4412,64890,ТИХОНОВО,ТИХОНОВО,Республика Татарстан (Татарстан),Куйбышевская
4413,65000,ДЕМА,ДЕМА,Республика Башкортостан,Куйбышевская
4414,65040,ТЮЛЬМА,ТЮЛЬМА,Республика Башкортостан,Куйбышевская
4415,65050,ЮТАЗА,ЮТАЗА,Республика Татарстан (Татарстан),Куйбышевская
4416,65060,УРУССУ,УРУССУ,Республика Татарстан (Татарстан),Куйбышевская
4417,65070,АПСАЛЯМОВО,АПСАЛЯМОВО,Республика Татарстан (Татарстан),Куйбышевская
4418,65080,НАРЫШЕВО,НАРЫШЕВО,Республика Татарстан (Татарстан),Куйбышевская
4419,65100,ТУЙМАЗЫ,ТУЙМАЗЫ,Республика Башкортостан,Куйбышевская
4420,65120,КАНДРЫ,КАНДРЫ,Республика Башкортостан,Куйбышевская
4421,65130,БУЗДЯК,БУЗДЯК,Республика Башкортостан,Куйбышевская
4422,65140,БЛАГОВАР,БЛАГОВАР,Республика Башкортостан,Куйбышевская
4423,65150,ЧИШМЫ,ЧИШМЫ,Республика Башкортостан,Куйбышевская
4424,65180,УРШАК,УРШАК,Республика Башкортостан,Куйбышевская
4425,65200,КАРЛАМАН,КАРЛАМАН,Республика Башкортостан,Куйбышевская
4426,65230,БЕЛОЕ ОЗЕРО,БЕЛОЕ ОЗЕРО,Республика Башкортостан,Куйбышевская
4427,65250,КУГАНАК,КУГАНАК,Республика Башкортостан,Куйбышевская
4428,65260,КОСЯКОВКА,КОСЯКОВКА,Республика Башкортостан,Куйбышевская
4429,65270,СТЕРЛИТАМАК,СТЕРЛИТАМАК,Республика Башкортостан,Куйбышевская
4430,65280,АЛЛАГУВАТ,АЛЛАГУВАТ,Республика Башкортостан,Куйбышевская
4431,65300,САЛАВАТ,САЛАВАТ,Республика Башкортостан,Куйбышевская
4432,65320,МЕЛЕУЗ,МЕЛЕУЗ,Республика Башкортостан,Куйбышевская
4433,65340,КУМЕРТАУ,КУМЕРТАУ,Республика Башкортостан,Куйбышевская
4434,65350,ЕРМОЛАЕВО,ЕРМОЛАЕВО,Республика Башкортостан,Куйбышевская
4435,65380,ПРИУРАЛЬЕ,ПРИУРАЛЬЕ,Республика Башкортостан,Куйбышевская
4436,65400,ИНЗЕР,ИНЗЕР,Республика Башкортостан,Куйбышевская
4437,65410,ЮША,ЮША,Республика Башкортостан,Куйбышевская
4438,65420,УЛУ-ЕЛГА,УЛУ-ЕЛГА,Республика Башкортостан,Куйбышевская
4439,65430,БЕЛОРЕЦК,БЕЛОРЕЦК,Республика Башкортостан,Куйбышевская
4440,65440,ТЮЛЬГАН,ТЮЛЬГАН,Оренбургская область,Куйбышевская
4441,65450,УФА,УФА,Республика Башкортостан,Куйбышевская
4442,65460,УФА-ПЕР,УФА (ПЕРЕВ.),Республика Башкортостан,Куйбышевская
4443,65470,ЧЕРНИКОВКА,ЧЕРНИКОВКА,Республика Башкортостан,Куйбышевская
4444,65480,ЧЕРНИК-ВОСТ,ЧЕРНИКОВКА-ВОСТОЧНАЯ,Республика Башкортостан,Куйбышевская
4445,65490,БЕНЗИН,БЕНЗИН,Республика Башкортостан,Куйбышевская
4446,65500,НОВОУФИМСКАЯ,НОВОУФИМСКАЯ,Республика Башкортостан,Куйбышевская
4447,65510,ЛОЩИННАЯ,ЛОЩИННАЯ,Республика Башкортостан,Куйбышевская
4448,65520,ЗАГОРОДНЯЯ,ЗАГОРОДНЯЯ,Республика Башкортостан,Куйбышевская
4449,65530,ШАКША,ШАКША,Республика Башкортостан,Куйбышевская
4450,65540,ИГЛИНО,ИГЛИНО,Республика Башкортостан,Куйбышевская
4451,65570,УРМАН,УРМАН,Республика Башкортостан,Куйбышевская
4452,65590,АША,АША,Челябинская область,Куйбышевская
4453,65600,МИНЬЯР,МИНЬЯР,Челябинская область,Куйбышевская
4454,65610,БИЯНКА,БИЯНКА,Челябинская область,Куйбышевская
4455,65640,ПРИЮТОВО,ПРИЮТОВО,Республика Башкортостан,Куйбышевская
4456,65650,АКСАКОВО,АКСАКОВО,Республика Башкортостан,Куйбышевская
4457,65700,РАЕВКА,РАЕВКА,Республика Башкортостан,Куйбышевская
4458,65710,ДАВЛЕКАНОВО,ДАВЛЕКАНОВО,Республика Башкортостан,Куйбышевская
4459,65730,КИНЕЛЬ,КИНЕЛЬ,Самарская область,Куйбышевская
4460,65750,АЛЕКСЕЕВСКАЯ,АЛЕКСЕЕВСКАЯ,Самарская область,Куйбышевская
4461,65760,СМЫШЛЯЕВКА,СМЫШЛЯЕВКА,Самарская область,Куйбышевская
4462,65770,САМАРКА,САМАРКА,Самарская область,Куйбышевская
4463,65780,БЕЗЫМЯНКА,БЕЗЫМЯНКА,Самарская область,Куйбышевская
4464,65790,САМАРА,САМАРА,Самарская область,Куйбышевская
4465,65800,БУХТА-ПЕР,БУХТА (ПЕРЕВ.),Самарская область,Куйбышевская
4466,65810,БУХТА,БУХТА,Самарская область,Куйбышевская
4467,65840,КРОТОВКА,КРОТОВКА,Самарская область,Куйбышевская
4468,65880,СЕРНЫЕ ВОДЫ I,СЕРНЫЕ ВОДЫ I,Самарская область,Куйбышевская
4469,65900,НОВООТРАДНАЯ,НОВООТРАДНАЯ,Самарская область,Куйбышевская
4470,65910,ТОЛКАЙ,ТОЛКАЙ,Самарская область,Куйбышевская
4471,65920,ПОДБЕЛЬСКАЯ,ПОДБЕЛЬСКАЯ,Самарская область,Куйбышевская
4472,65930,ПОХВИСТНЕВО,ПОХВИСТНЕВО,Самарская область,Куйбышевская
4473,65940,БУГУРУСЛАН,БУГУРУСЛАН,Оренбургская область,Куйбышевская
4474,65950,ЗАГЛЯДИНО,ЗАГЛЯДИНО,Оренбургская область,Куйбышевская
4475,65960,АСЕКЕЕВО,АСЕКЕЕВО,Оренбургская область,Куйбышевская
4476,65980,САРАЙ-ГИР,САРАЙ-ГИР,Оренбургская область,Куйбышевская
4477,65990,АБДУЛИНО,АБДУЛИНО,Оренбургская область,Куйбышевская
4478,66810,БЕСТАМАК,БЕСТАМАК,КАЗАХСТАН,Казахстанская
4479,66490,СЕМИГЛАВ МАР-Э,СЕМИГЛАВЫЙ МАР (ЭКСП.),Саратовская область,Казахстанская
4480,66500,СЕМИГЛАВ МАР,СЕМИГЛАВЫЙ МАР,КАЗАХСТАН,Казахстанская
4481,66510,ТАСКАЛА,ТАСКАЛА,КАЗАХСТАН,Казахстанская
4482,66520,ДЕРКУЛ,ДЕРКУЛ,КАЗАХСТАН,Казахстанская
4483,66530,ПЕРЕМЕТНАЯ,ПЕРЕМЕТНАЯ,КАЗАХСТАН,Казахстанская
4484,66540,БЕЛЕС,БЕЛЕС,КАЗАХСТАН,Казахстанская
4485,66790,КАРДОН,КАРДОН,КАЗАХСТАН,Казахстанская
4486,66560,УРАЛЬСК,УРАЛЬСК,КАЗАХСТАН,Казахстанская
4487,66550,УРАЛЬСК-ТОВ,УРАЛЬСК-ТОВАРНАЯ,КАЗАХСТАН,Казахстанская
4488,66600,ЖИЛАЕВО,ЖИЛАЕВО,КАЗАХСТАН,Казахстанская
4489,66610,ПОЙМА,ПОЙМА,КАЗАХСТАН,Казахстанская
4490,66620,ЖАЙЫК,ЖАЙЫК,КАЗАХСТАН,Казахстанская
4491,66630,АЛГАБАС,АЛГАБАС,КАЗАХСТАН,Казахстанская
4492,66640,КАЗАХСТАН,КАЗАХСТАН,КАЗАХСТАН,Казахстанская
4493,66650,ИЛЕЦК I-Э(КЗХ),ИЛЕЦК I (ЭКСП.),Оренбургская область,Казахстанская
4494,66660,АМАНГЕЛЬДЫ,АМАНГЕЛЬДЫ,КАЗАХСТАН,Казахстанская
4495,66670,ШЫНГЫРЛАУ,ШЫНГЫРЛАУ,КАЗАХСТАН,Казахстанская
4496,66680,ЦВИЛИНГА,ЦВИЛИНГА,Оренбургская область,Казахстанская
4497,66690,ИЛЕЦК I,ИЛЕЦК I,Оренбургская область,Казахстанская
4498,66710,РЗД № 25,РАЗЪЕЗД № 25,Оренбургская область,Казахстанская
4499,66720,ЧАШКАН,ЧАШКАН,Оренбургская область,Казахстанская
4500,66730,АК-БУЛАК,АК-БУЛАК,Оренбургская область,Казахстанская
4501,66740,САГАРЧИН,САГАРЧИН,Оренбургская область,Казахстанская
4502,66750,ЖАЙСАН,ЖАЙСАН,КАЗАХСТАН,Казахстанская
4503,66760,МАРТУК,МАРТУК,КАЗАХСТАН,Казахстанская
4504,66770,КАРАТОГАЙ,КАРАТОГАЙ,КАЗАХСТАН,Казахстанская
4505,66700,КАМЫССАЙ,КАМЫССАЙ,КАЗАХСТАН,Казахстанская
4506,67130,КЫЗГАЛДАКТЫ,КЫЗГАЛДАКТЫ,КАЗАХСТАН,Казахстанская
4507,66780,ЖИНИШКЕ,ЖИНИШКЕ,КАЗАХСТАН,Казахстанская
4508,66830,АЛГА,АЛГА,КАЗАХСТАН,Казахстанская
4509,66840,ТАМДЫ,ТАМДЫ,КАЗАХСТАН,Казахстанская
4510,66850,АККЕМЕР,АККЕМЕР,КАЗАХСТАН,Казахстанская
4511,66860,НИКЕЛЬТАУ,НИКЕЛЬТАУ,КАЗАХСТАН,Казахстанская
4512,66870,ДОН,ДОН,КАЗАХСТАН,Казахстанская
4513,66880,ЖАЗЫК,ЖАЗЫК,КАЗАХСТАН,Казахстанская
4514,66900,ТОКМАНСАЙ,ТОКМАНСАЙ,КАЗАХСТАН,Казахстанская
4515,67840,АЛИМБЕТ-Э,АЛИМБЕТ (ЭКСП.),КАЗАХСТАН,Казахстанская
4516,66000,КАНДЫАГАШ,КАНДЫАГАШ,КАЗАХСТАН,Казахстанская
4517,66930,ЖУРЫН,ЖУРЫН,КАЗАХСТАН,Казахстанская
4518,66940,ЖЕМ,ЖЕМ,КАЗАХСТАН,Казахстанская
4519,66950,МУГАЛЖАР,МУГАЛЖАР,КАЗАХСТАН,Казахстанская
4520,67100,АЛАБАС,АЛАБАС,КАЗАХСТАН,Казахстанская
4521,66960,БЕРШУГИР,БЕРШУГИР,КАЗАХСТАН,Казахстанская
4522,66970,КОТЫРТАС,КОТЫРТАС,КАЗАХСТАН,Казахстанская
4523,66980,КАЙДАУЫЛ,КАЙДАУЫЛ,КАЗАХСТАН,Казахстанская
4524,66990,ШАЛКАР,ШАЛКАР,КАЗАХСТАН,Казахстанская
4525,67000,ТОГЫЗ,ТОГЫЗ,КАЗАХСТАН,Казахстанская
4526,67010,СЕКСЕУЛ,СЕКСЕУЛ,КАЗАХСТАН,Казахстанская
4527,67030,АРАЛ ТЕНИЗИ,АРАЛ ТЕНИЗИ,КАЗАХСТАН,Казахстанская
4528,67020,ШОМЫШ,ШОМЫШ,КАЗАХСТАН,Казахстанская
4529,67040,КАМЫСТЫБАС,КАМЫСТЫБАС,КАЗАХСТАН,Казахстанская
4530,67050,КАЗАЛЫ,КАЗАЛЫ,КАЗАХСТАН,Казахстанская
4531,67080,БАЙКОЖА,БАЙКОЖА,КАЗАХСТАН,Казахстанская
4532,67060,ТОРЕТАМ,ТОРЕТАМ,КАЗАХСТАН,Казахстанская
4533,67070,ОРДАЗЫ (РЗД),ОРДАЗЫ (РЗД),КАЗАХСТАН,Казахстанская
4534,67090,ЖОСАЛЫ,ЖОСАЛЫ,КАЗАХСТАН,Казахстанская
4535,67140,ЖАЛАГАШ,ЖАЛАГАШ,КАЗАХСТАН,Казахстанская
4536,67150,ТЕРЕНОЗЕК,ТЕРЕНОЗЕК,КАЗАХСТАН,Казахстанская
4537,67170,КЫЗЫЛОРДА,КЫЗЫЛОРДА,КАЗАХСТАН,Казахстанская
4538,67180,БЕЛКОЛ,БЕЛКОЛ,КАЗАХСТАН,Казахстанская
4539,67190,СУЛУТОБЕ,СУЛУТОБЕ,КАЗАХСТАН,Казахстанская
4540,67200,ТАРТОГАЙ,ТАРТОГАЙ,КАЗАХСТАН,Казахстанская
4541,67210,БАЙГАКУМ,БАЙГАКУМ,КАЗАХСТАН,Казахстанская
4542,67220,ШИЕЛИ,ШИЕЛИ,КАЗАХСТАН,Казахстанская
4543,67280,ШОРНАК,ШОРНАК,КАЗАХСТАН,Казахстанская
4544,67240,ТОМЕНАРЫК,ТОМЕНАРЫК,КАЗАХСТАН,Казахстанская
4545,67250,ЖАНАКОРГАН,ЖАНАКОРГАН,КАЗАХСТАН,Казахстанская
4546,67230,РЗД № 26,РАЗЪЕЗД № 26,КАЗАХСТАН,Казахстанская
4547,67260,ТАЛАП,ТАЛАП,КАЗАХСТАН,Казахстанская
4548,67270,БЕСАРЫК,БЕСАРЫК,КАЗАХСТАН,Казахстанская
4549,66020,РЗД № 315,РАЗЪЕЗД № 315,КАЗАХСТАН,Казахстанская
4550,66030,ТЕМИР,ТЕМИР,КАЗАХСТАН,Казахстанская
4551,66040,ЖАКСЫМАЙ,ЖАКСЫМАЙ,КАЗАХСТАН,Казахстанская
4552,66050,ШУБАРКУДЫК,ШУБАРКУДЫК,КАЗАХСТАН,Казахстанская
4553,66060,КАРАУЫЛКЕЛДЫ,КАРАУЫЛКЕЛДЫ,КАЗАХСТАН,Казахстанская
4554,68970,ЖАРЛЫ,ЖАРЛЫ,КАЗАХСТАН,Казахстанская
4555,66070,НОГАЙТЫ,НОГАЙТЫ,КАЗАХСТАН,Казахстанская
4556,66080,САГИЗ,САГИЗ,КАЗАХСТАН,Казахстанская
4557,66100,ЖАМАНСОР,ЖАМАНСОР,КАЗАХСТАН,Казахстанская
4558,66110,МАКАТ,МАКАТ,КАЗАХСТАН,Казахстанская
4559,66420,БЕКБЕКЕ (РЗД),БЕКБЕКЕ (РЗД),КАЗАХСТАН,Казахстанская
4560,66220,САЗАНКУРАК,САЗАНКУРАК,КАЗАХСТАН,Казахстанская
4561,66130,ДОССОР,ДОССОР,КАЗАХСТАН,Казахстанская
4562,66140,ИСКИНЕ,ИСКИНЕ,КАЗАХСТАН,Казахстанская
4563,66120,КАРАБАТАНО,КАРАБАТАНО,КАЗАХСТАН,Казахстанская
4564,66150,ТЕНДЫК,ТЕНДЫК,КАЗАХСТАН,Казахстанская
4565,66160,АКЖАЙЫК,АКЖАЙЫК,КАЗАХСТАН,Казахстанская
4566,66170,АТЫРАУ,АТЫРАУ,КАЗАХСТАН,Казахстанская
4567,66180,МАХАМБЕТ,МАХАМБЕТ,КАЗАХСТАН,Казахстанская
4568,66210,АК-КИСТАУ,АК-КИСТАУ,КАЗАХСТАН,Казахстанская
4569,66230,ГАНЮШКИНО,ГАНЮШКИНО,КАЗАХСТАН,Казахстанская
4570,66240,ДИНЫ НУРПЕИС,ДИНЫ НУРПЕИСОВОЙ,КАЗАХСТАН,Казахстанская
4571,66250,КУЛЬСАРЫ,КУЛЬСАРЫ,КАЗАХСТАН,Казахстанская
4572,66430,ТОЛТЫР,ТОЛТЫР,КАЗАХСТАН,Казахстанская
4573,66260,ОПОРНАЯ,ОПОРНАЯ,КАЗАХСТАН,Казахстанская
4574,66410,КОРКОЛ,КОРКОЛ,КАЗАХСТАН,Казахстанская
4575,66480,РЗД № 460,РАЗЪЕЗД № 460,КАЗАХСТАН,Казахстанская
4576,66280,БЕЙНЕУ,БЕЙНЕУ,КАЗАХСТАН,Казахстанская
4577,66290,ОАЗИС-Э,ОАЗИС-ЭКСПОРТ,КАЗАХСТАН,Казахстанская
4578,66300,УСТЮРТ,УСТЮРТ,КАЗАХСТАН,Казахстанская
4579,66440,РЗД № 6-Г,РАЗЪЕЗД № 6-Г,КАЗАХСТАН,Казахстанская
4580,66310,САЙ-УТЕС,САЙ-УТЕС,КАЗАХСТАН,Казахстанская
4581,66320,ШЕТПЕ,ШЕТПЕ,КАЗАХСТАН,Казахстанская
4582,66330,МАНГИСТАУ,МАНГИСТАУ,КАЗАХСТАН,Казахстанская
4583,66340,АКТАУ-П-ПЕР-Э,АКТАУ-ПОРТ (ПЕРЕВ. ЭКСП.),КАЗАХСТАН,Казахстанская
4584,66350,АКТАУ-ПОРТ,АКТАУ-ПОРТ,КАЗАХСТАН,Казахстанская
4585,66360,КАРАКИЯ,КАРАКИЯ,КАЗАХСТАН,Казахстанская
4586,66370,ЖЕТЫБАЙ,ЖЕТЫБАЙ,КАЗАХСТАН,Казахстанская
4587,66390,УЗЕНЬ,УЗЕНЬ,КАЗАХСТАН,Казахстанская
4588,71820,КАРАСУ-УЗ-Э(САВ),КАРАСУ-УЗБЕКСКИЙ-ЭКСПОРТ(НА САВАЙ),КЫРГЫЗСТАН,Кыргызская
4589,71810,КАРАСУ-УЗ-Э(СУЛ),КАРАСУ-УЗБЕКСКИЙ (НА СУЛТАНАБАД),КЫРГЫЗСТАН,Кыргызская
4590,71890,ПОСТ 38 КМ-Э,ПОСТ 38 КМ-ЭКСПОРТ,КЫРГЫЗСТАН,Кыргызская
4591,71840,ДЖАЛАЛ-АБАД-Э,ДЖАЛАЛ-АБАД (ЭКСП.),КЫРГЫЗСТАН,Кыргызская
4592,71930,ШАМАЛДЫСАЙ-Э,ШАМАЛДЫСАЙ (ЭКСП.),КЫРГЫЗСТАН,Кыргызская
4593,71640,СОКУЛУК,СОКУЛУК,КЫРГЫЗСТАН,Кыргызская
4594,75930,ТАЛИМАРДЖ-Э,ТАЛИМАРДЖАН (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4595,74990,№ 161-Э,РАЗЪЕЗД № 161 (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4596,75910,КУБАДАГ-Э,КУБАДАГ (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4597,75980,КЕРКИ-Э,КЕРКИ (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4598,75860,ТАХИАТАШ-Э,ТАХИАТАШ (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4599,75030,ФАРАП-Э,ФАРАП (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4600,75820,ДАШОГУЗ-Э,ДАШОГУЗ (ЭКСП.),ТУРКМЕНИСТАН,Туркменская
4601,68000,ЕСИЛЬ,ЕСИЛЬ,КАЗАХСТАН,Казахстанская
4602,68020,КРАСИВ-КАЗАХ,КРАСИВЫЙ-КАЗАХСКИЙ,КАЗАХСТАН,Казахстанская
4603,68030,N 80,N 80,КАЗАХСТАН,Казахстанская
4604,68040,ЖАКСЫ,ЖАКСЫ,КАЗАХСТАН,Казахстанская
4605,68050,КАЗАХСКАЯ,КАЗАХСКАЯ,КАЗАХСТАН,Казахстанская
4606,68060,ПЕРЕКАТНАЯ,ПЕРЕКАТНАЯ,КАЗАХСТАН,Казахстанская
4607,68070,ОБП № 86,ОБГ. ПУНКТ № 86,КАЗАХСТАН,Казахстанская
4608,68080,ПРИИШИМСКАЯ,ПРИИШИМСКАЯ,КАЗАХСТАН,Казахстанская
4609,68090,КЕНСКАЯ,КЕНСКАЯ,КАЗАХСТАН,Казахстанская
4610,68100,ДЕРЖАВИНСКАЯ,ДЕРЖАВИНСКАЯ,КАЗАХСТАН,Казахстанская
4611,68110,БАРАНКУЛЬСКИЙ,БАРАНКУЛЬСКИЙ,КАЗАХСТАН,Казахстанская
4612,68120,ТАСТЫ-ТАЛДЫ,ТАСТЫ-ТАЛДЫ,КАЗАХСТАН,Казахстанская
4613,68130,ФУРМАНОВСКИЙ,ФУРМАНОВСКИЙ,КАЗАХСТАН,Казахстанская
4614,68140,АРКАЛЫК,АРКАЛЫК,КАЗАХСТАН,Казахстанская
4615,68150,СУРГАН,СУРГАН,КАЗАХСТАН,Казахстанская
4616,68160,КОВЫЛЬНАЯ I,КОВЫЛЬНАЯ I,КАЗАХСТАН,Казахстанская
4617,68190,ЖАНЫСБАЙ,ЖАНЫСБАЙ,КАЗАХСТАН,Казахстанская
4618,68200,ЧЕЛГАШИ,ЧЕЛГАШИ,КАЗАХСТАН,Казахстанская
4619,71140,ОБП № 75,ОБГ. ПУНКТ № 75,КАЗАХСТАН,Казахстанская
4620,68230,КОЙБАГАР,КОЙБАГАР,КАЗАХСТАН,Казахстанская
4621,68250,КУШМУРУН,КУШМУРУН,КАЗАХСТАН,Казахстанская
4622,67910,ЕЛИМАЙ-Э,ЕЛИМАЙ(ОБП)-ЭКСПОРТ,КАЗАХСТАН,Казахстанская
4623,68270,АМАНКАРАГАЙ,АМАНКАРАГАЙ,КАЗАХСТАН,Казахстанская
4624,68280,КАЗАНБАСЫ,КАЗАНБАСЫ,КАЗАХСТАН,Казахстанская
4625,68290,АПАНОВКА,АПАНОВКА,КАЗАХСТАН,Казахстанская
4626,68300,ПРИТОБОЛЬСК,ПРИТОБОЛЬСКАЯ,КАЗАХСТАН,Казахстанская
4627,68310,ТОБОЛ,ТОБОЛ,КАЗАХСТАН,Казахстанская
4628,68320,АРЫСТАНСОР,АРЫСТАНСОР,КАЗАХСТАН,Казахстанская
4629,68330,МАЙЛИН,МАЙЛИН,КАЗАХСТАН,Казахстанская
4630,68350,ПЕРЕЛЕСКИ,ПЕРЕЛЕСКИ,КАЗАХСТАН,Казахстанская
4631,68360,ДЕНИСОВКА,ДЕНИСОВКА,КАЗАХСТАН,Казахстанская
4632,68380,ЖИТИКАРА,ЖИТИКАРА,КАЗАХСТАН,Казахстанская
4633,68390,ЖЕЛЕЗОРУДНАЯ,ЖЕЛЕЗОРУДНАЯ,КАЗАХСТАН,Казахстанская
4634,68400,КОСТАНАЙ,КОСТАНАЙ,КАЗАХСТАН,Казахстанская
4635,68410,ШОККАРАГАЙ,ШОККАРАГАЙ,КАЗАХСТАН,Казахстанская
4636,68430,ОЗЕРНАЯ,ОЗЕРНАЯ,КАЗАХСТАН,Казахстанская
4637,68440,УСПЕНОВКА,УСПЕНОВКА,КАЗАХСТАН,Казахстанская
4638,68450,РЗД 219 КМ,РАЗЪЕЗД 219 КМ,КАЗАХСТАН,Казахстанская
4639,68460,ДЖАРКУЛЬ,ДЖАРКУЛЬ,КАЗАХСТАН,Казахстанская
4640,68470,ПЕШКОВ ТУПИК,ПЕШКОВСКИЙ ТУПИК,КАЗАХСТАН,Казахстанская
4641,68480,ТОГУЗАК,ТОГУЗАК,КАЗАХСТАН,Казахстанская
4642,68490,КАРАБАЛЫК,КАРАБАЛЫК,КАЗАХСТАН,Казахстанская
4643,68500,ЩЕБЗАВОД,ЩЕБЗАВОД,КАЗАХСТАН,Казахстанская
4644,68510,МЕДЕТ,МЕДЕТ,КАЗАХСТАН,Казахстанская
